z,a,year,method,reference
1,2,1996,,
1,3,1996,,
2,4,1996,,
2,5,1996,,
2,6,1996,,
3,6,1996,,
3,7,1997,,
2,8,1999,,
3,8,1999,,
4,8,1999,,
8,16,1999,CC,"Phys. Rev. C 59 1440"
2,9,2002,,
3,9,2002,,
4,9,2002,,
4,10,2002,,
5,10,2002,,
6,14,2003,NCSM,"Nucl. Phys. A720 71"
7,14,2003,NCSM,"Nucl. Phys. A720 71"
4,11,2005,,
4,13,2005,,
6,11,2005,,
5,11,2007,,
6,12,2007,,
6,13,2007,,
3,10,2009,,
3,11,2009,,
4,7,2009,,
4,9,2009,,
4,10,2009,,
4,11,2009,,
9,17,2010,,
6,10,2011,,
6,12,2011,,
6,14,2011,,
6,16,2011,,
6,18,2011,,
6,20,2011,,
8,17,2011,,
8,18,2011,,
8,21,2011,,
8,22,2011,,
8,23,2011,,
8,24,2011,,
6,9,2012,,
8,15,2012,,
8,22,2012,,
8,23,2012,,
8,24,2012,,
20,39,2012,,
20,40,2012,,
20,41,2012,,
20,42,2012,,
20,47,2012,,
20,48,2012,,
20,49,2012,,
20,50,2012,,
20,51,2012,,
20,52,2012,,
20,53,2012,,
20,54,2012,,
20,55,2012,,
20,56,2012,,
20,60,2012,,
20,61,2012,,
20,62,2012,,
8,26,2013,,
8,28,2013,,
20,36,2013,,
20,52,2013,,
20,54,2013,,
28,48,2013,,
28,56,2013,,
28,60,2013,,
28,68,2013,,
28,78,2013,,
38,88,2013,,
40,90,2013,,
50,100,2013,,
50,106,2013,,
50,114,2013,,
50,118,2013,,
50,120,2013,,
50,132,2013,,
6,17,2014,,
6,19,2014,,
6,21,2014,,
6,22,2014,,
8,12,2014,,
8,14,2014,,
8,19,2014,,
8,20,2014,,
8,25,2014,,
8,27,2014,,
18,36,2014,,
18,38,2014,,
18,40,2014,,
18,42,2014,,
18,44,2014,,
18,46,2014,,
18,48,2014,,
18,50,2014,,
19,37,2014,,
19,39,2014,,
19,41,2014,,
19,43,2014,,
19,45,2014,,
19,47,2014,,
19,49,2014,,
19,51,2014,,
20,34,2014,,
20,38,2014,,
20,44,2014,,
20,46,2014,,
20,58,2014,,
20,64,2014,,
20,66,2014,,
20,68,2014,,
20,70,2014,,
21,39,2014,,
21,41,2014,,
21,43,2014,,
21,45,2014,,
21,47,2014,,
21,49,2014,,
21,51,2014,,
21,53,2014,,
22,40,2014,,
22,42,2014,,
22,44,2014,,
22,46,2014,,
22,48,2014,,
22,50,2014,,
22,52,2014,,
22,54,2014,,
28,50,2014,,
28,52,2014,,
28,54,2014,,
28,58,2014,,
28,62,2014,,
28,64,2014,,
28,66,2014,,
28,70,2014,,
28,72,2014,,
28,74,2014,,
28,76,2014,,
28,80,2014,,
28,82,2014,,
28,84,2014,,
28,86,2014,,
28,88,2014,,
28,90,2014,,
28,92,2014,,
28,94,2014,,
28,96,2014,,
28,98,2014,,
28,100,2014,,
40,92,2014,,
40,94,2014,,
40,96,2014,,
40,98,2014,,
40,100,2014,,
40,102,2014,,
40,104,2014,,
40,106,2014,,
40,108,2014,,
40,110,2014,,
8,13,2015
9,14,2015,,
9,15,2015,,
9,16,2015,,
9,18,2015,,
9,19,2015,,
9,20,2015,,
9,21,2015,,
9,22,2015,,
9,23,2015,,
9,24,2015,,
9,25,2015,,
9,26,2015,,
9,27,2015,,
9,28,2015,,
9,29,2015,,
9,30,2015,,
9,31,2015,,
9,32,2015,,
9,33,2015,,
9,34,2015,,
10,16,2015,,
10,17,2015,,
10,18,2015,,
10,19,2015,,
10,20,2015,,
10,21,2015,,
10,22,2015,,
10,23,2015,,
10,24,2015,,
10,25,2015,,
10,26,2015,,
10,27,2015,,
10,28,2015,,
10,29,2015,,
10,30,2015,,
10,31,2015,,
10,32,2015,,
10,33,2015,,
10,34,2015,,
10,35,2015,,
11,17,2015,,
11,18,2015,,
11,19,2015,,
11,20,2015,,
11,21,2015,,
11,22,2015,,
11,23,2015,,
11,24,2015,,
11,25,2015,,
11,26,2015,,
11,27,2015,,
11,28,2015,,
11,29,2015,,
11,30,2015,,
11,31,2015,,
12,19,2015,,
12,20,2015,,
12,21,2015,,
12,22,2015,,
12,23,2015,,
12,24,2015,,
12,25,2015,,
12,26,2015,,
12,27,2015,,
12,28,2015,,
12,29,2015,,
12,30,2015,,
12,31,2015,,
12,32,2015,,
13,21,2015,,
13,22,2015,,
13,23,2015,,
13,24,2015,,
13,25,2015,,
13,26,2015,,
13,27,2015,,
13,28,2015,,
13,29,2015,,
13,30,2015,,
13,31,2015,,
13,32,2015,,
13,33,2015,,
14,22,2015,,
14,23,2015,,
14,24,2015,,
14,25,2015,,
14,26,2015,,
14,27,2015,,
14,28,2015,,
14,29,2015,,
14,30,2015,,
14,31,2015,,
14,32,2015,,
14,33,2015,,
14,34,2015,,
15,24,2015,,
15,25,2015,,
15,26,2015,,
15,27,2015,,
15,28,2015,,
15,29,2015,,
15,30,2015,,
15,31,2015,,
15,32,2015,,
15,33,2015,,
15,34,2015,,
15,35,2015,,
16,26,2015,,
16,27,2015,,
16,28,2015,,
16,29,2015,,
16,30,2015,,
16,31,2015,,
16,32,2015,,
16,33,2015,,
16,34,2015,,
16,35,2015,,
16,36,2015,,
17,27,2015,,
17,28,2015,,
17,29,2015,,
17,30,2015,,
17,31,2015,,
17,32,2015,,
17,33,2015,,
17,34,2015,,
17,35,2015,,
17,36,2015,,
17,37,2015,,
18,28,2015,,
18,29,2015,,
18,30,2015,,
18,31,2015,,
18,32,2015,,
18,33,2015,,
18,34,2015,,
18,35,2015,,
18,37,2015,,
18,52,2015,,
18,54,2015,,
18,56,2015,,
18,58,2015,,
18,60,2015,,
18,62,2015,,
19,32,2015,,
19,33,2015,,
19,34,2015,,
19,35,2015,,
19,36,2015,,
19,38,2015,,
19,40,2015,,
19,42,2015,,
19,44,2015,,
19,46,2015,,
19,48,2015,,
19,50,2015,,
19,52,2015,,
19,53,2015,,
20,35,2015,,
20,37,2015,,
20,43,2015,,
20,45,2015,,
20,57,2015,,
20,59,2015,,
20,63,2015,,
20,65,2015,,
20,67,2015,,
20,69,2015,,
22,36,2015,,
22,38,2015,,
22,56,2015,,
22,58,2015,,
22,60,2015,,
22,62,2015,,
22,64,2015,,
22,66,2015,,
22,68,2015,,
22,70,2015,,
22,72,2015,,
22,74,2015,,
22,76,2015,,
22,78,2015,,
22,80,2015,,
22,82,2015,,
22,84,2015,,
22,86,2015,,
28,49,2015,,
28,51,2015,,
28,53,2015,,
28,55,2015,,
28,57,2015,,
28,59,2015,,
28,61,2015,,
28,63,2015,,
28,65,2015,,
28,67,2015,,
28,69,2015,,
28,71,2015,,
28,73,2015,,
28,75,2015,,
28,77,2015,,
28,79,2015,,
28,81,2015,,
28,83,2015,,
28,85,2015,,
50,102,2015,,
50,104,2015,,
50,108,2015,,
50,110,2015,,
50,112,2015,,
50,122,2015,,
50,124,2015,,
50,126,2015,,
50,128,2015,,
50,130,2015,,
50,134,2015,,
50,136,2015,,
50,138,2015,,
50,140,2015,,
50,142,2015,,
50,144,2015,,
50,146,2015,,
3,5,2016,,
4,6,2016,,
4,12,2016,,
5,7,2016,,
5,8,2016,,
5,9,2016,,
5,12,2016,,
5,13,2016,,
6,8,2016,,
7,9,2016,,
7,10,2016,,
7,11,2016,,
7,12,2016,,
7,13,2016,,
7,15,2016,,
8,10,2016,,
8,11,2016,,
21,35,2016,,
21,36,2016,,
21,37,2016,,
21,38,2016,,
21,40,2016,,
21,42,2016,,
21,44,2016,,
21,46,2016,,
21,48,2016,,
21,50,2016,,
21,52,2016,,
21,54,2016,,
21,55,2016,,
21,56,2016,,
21,57,2016,,
21,58,2016,,
21,59,2016,,
21,60,2016,,
21,61,2016,,
22,37,2016,,
22,39,2016,,
22,41,2016,,
22,43,2016,,
22,45,2016,,
22,47,2016,,
22,49,2016,,
22,51,2016,,
22,53,2016,,
22,55,2016,,
22,57,2016,,
22,59,2016,,
22,61,2016,,
23,40,2016,,
23,41,2016,,
23,42,2016,,
23,43,2016,,
23,44,2016,,
23,45,2016,,
23,46,2016,,
23,47,2016,,
23,48,2016,,
23,49,2016,,
23,50,2016,,
23,51,2016,,
23,52,2016,,
23,53,2016,,
23,54,2016,,
23,55,2016,,
23,56,2016,,
23,57,2016,,
23,58,2016,,
23,59,2016,,
23,60,2016,,
23,61,2016,,
23,62,2016,,
23,63,2016,,
24,42,2016,,
24,43,2016,,
24,44,2016,,
24,45,2016,,
24,46,2016,,
24,47,2016,,
24,48,2016,,
24,49,2016,,
24,50,2016,,
24,51,2016,,
24,52,2016,,
24,53,2016,,
24,54,2016,,
24,55,2016,,
24,56,2016,,
24,57,2016,,
24,58,2016,,
24,59,2016,,
24,60,2016,,
24,61,2016,,
24,62,2016,,
24,63,2016,,
24,64,2016,,
25,44,2016,,
25,45,2016,,
25,46,2016,,
25,47,2016,,
25,48,2016,,
25,49,2016,,
25,50,2016,,
25,51,2016,,
25,52,2016,,
25,53,2016,,
25,54,2016,,
25,55,2016,,
25,56,2016,,
25,57,2016,,
25,58,2016,,
25,59,2016,,
25,60,2016,,
25,61,2016,,
25,62,2016,,
25,63,2016,,
25,64,2016,,
25,65,2016,,
26,40,2016,,
26,42,2016,,
26,44,2016,,
26,45,2016,,
26,46,2016,,
26,47,2016,,
26,48,2016,,
26,49,2016,,
26,50,2016,,
26,51,2016,,
26,52,2016,,
26,53,2016,,
26,54,2016,,
26,55,2016,,
26,56,2016,,
26,57,2016,,
26,58,2016,,
26,59,2016,,
26,60,2016,,
26,61,2016,,
26,62,2016,,
26,63,2016,,
26,64,2016,,
26,65,2016,,
26,66,2016,,
26,68,2016,,
26,70,2016,,
26,72,2016,,
26,74,2016,,
26,76,2016,,
26,78,2016,,
27,45,2016,,
27,46,2016,,
27,47,2016,,
27,48,2016,,
27,49,2016,,
27,50,2016,,
27,51,2016,,
27,52,2016,,
27,53,2016,,
27,54,2016,,
27,55,2016,,
27,56,2016,,
27,57,2016,,
27,58,2016,,
27,59,2016,,
27,60,2016,,
27,61,2016,,
27,62,2016,,
27,63,2016,,
27,64,2016,,
27,65,2016,,
27,66,2016,,
27,67,2016,,
29,52,2016,,
29,53,2016,,
29,54,2016,,
29,55,2016,,
29,56,2016,,
29,57,2016,,
29,58,2016,,
29,59,2016,,
29,60,2016,,
29,61,2016,,
29,62,2016,,
29,63,2016,,
29,64,2016,,
29,65,2016,,
29,66,2016,,
29,67,2016,,
29,68,2016,,
29,69,2016,,
30,54,2016,,
30,55,2016,,
30,56,2016,,
30,57,2016,,
30,58,2016,,
30,59,2016,,
30,60,2016,,
30,61,2016,,
30,62,2016,,
30,63,2016,,
30,64,2016,,
30,65,2016,,
30,66,2016,,
30,67,2016,,
30,68,2016,,
30,69,2016,,
30,70,2016,,
31,56,2016,,
31,57,2016,,
31,58,2016,,
31,59,2016,,
31,60,2016,,
31,61,2016,,
31,62,2016,,
31,63,2016,,
31,64,2016,,
31,65,2016,,
31,66,2016,,
31,67,2016,,
31,68,2016,,
31,69,2016,,
31,70,2016,,
31,71,2016,,
32,58,2016,,
32,59,2016,,
32,60,2016,,
32,61,2016,,
32,62,2016,,
32,63,2016,,
32,64,2016,,
32,65,2016,,
32,66,2016,,
32,67,2016,,
32,68,2016,,
32,69,2016,,
32,70,2016,,
32,71,2016,,
32,72,2016,,
33,60,2016,,
33,61,2016,,
33,62,2016,,
33,63,2016,,
33,64,2016,,
33,65,2016,,
33,66,2016,,
33,67,2016,,
33,68,2016,,
33,69,2016,,
33,70,2016,,
33,71,2016,,
33,72,2016,,
33,73,2016,,
34,62,2016,,
34,63,2016,,
34,64,2016,,
34,65,2016,,
34,66,2016,,
34,67,2016,,
34,68,2016,,
34,69,2016,,
34,70,2016,,
34,71,2016,,
34,72,2016,,
34,73,2016,,
34,74,2016,,
